City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Bambanglipuro,ID,76.33,overcast clouds,-7.95,110.2833,Puri Brata
563,Upata,VE,84.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
567,Shache,CN,79.92,overcast clouds,38.4167,77.2406,Delong Hotel
568,Kihei,US,82.85,few clouds,20.785,-156.4656,Maui Sunset
571,Dewas,IN,73.58,moderate rain,22.9667,76.0667,OYO 71164 Hotel Suryaansh
574,Provost,CA,78.21,broken clouds,52.3501,-110.2683,Canalta Hotel Provost
575,Katsuura,JP,81.57,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
576,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
578,Malindi,KE,74.17,few clouds,-3.2175,40.1191,African House Resort
579,Kutum,SD,72.34,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
582,Siocon,PH,77.81,overcast clouds,7.7061,122.1353,ABS Hotel
584,Sao Joao Da Barra,BR,70.21,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
586,Lekoni,GA,80.64,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
587,Santiago Del Estero,AR,77.07,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
588,Glace Bay,CA,71.89,light intensity drizzle,46.1969,-59.957,Cedarwoods Bed & Breakfast
589,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
593,Lazaro Cardenas,MX,83.5,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
594,Fare,PF,78.64,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
595,Pasighat,IN,76.08,moderate rain,28.0667,95.3333,Siang Guest House
